prompt_length_chars,prompt_token_count,response_length_chars,cache_hit,latency_ms,hour_bucket
47,11,97,True,28.203645551014603,10
24,6,100,True,33.13700669732343,14
58,14,94,True,24.704788913474722,18
64,16,109,True,36.95111355325902,18
15,3,91,True,22.573018985429385,8
21,5,97,True,21.167690829011654,22
43,10,96,True,18.94973575155483,1
34,8,88,True,36.65512335779035,2
40,10,79,True,29.09723786308949,0
26,6,134,True,23.329396333098458,22
62,15,80,True,31.245113484367476,4
59,14,76,True,28.43846092558891,14
41,10,98,True,34.83063735687795,19
71,17,95,False,4395.532666565769,18
51,12,61,True,23.673199458428726,22
26,6,112,True,22.687393080285872,1
48,12,88,True,15.131586617956993,9
25,6,67,True,30.30163602389847,12
62,15,113,True,23.648017220983206,16
39,9,102,True,28.69815602493281,14
36,9,64,True,36.79885967164806,13
28,7,125,False,3602.583564343413,7
74,18,103,True,22.894235086714225,2
37,9,89,True,25.59332084861998,10
32,8,121,True,29.936236764917048,6
33,8,93,False,3454.783851651446,13
52,13,89,True,21.845192014339347,19
48,12,76,True,30.285946351206828,13
49,12,101,True,26.893196619190178,13
50,12,99,True,14.776358684975897,1
118,29,90,False,3578.1523663755193,15
33,8,74,True,32.50617931913605,10
31,7,92,True,27.009641415394064,2
26,6,88,True,21.189020344813756,5
55,13,63,True,24.14795171382509,18
71,17,60,False,3114.104622795463,22
38,9,101,True,28.67866680140082,12
26,6,37,True,18.20868302570605,23
26,6,94,False,3432.4283374701045,4
55,13,80,False,3578.557842004075,7
58,14,116,True,24.50082709752275,22
53,13,80,True,27.859295913183548,4
28,7,103,True,18.852463013202012,15
45,11,82,True,26.785643381356607,5
42,10,92,True,30.45791809688736,7
45,11,104,True,27.434092735746418,11
62,15,80,False,4379.539141392933,8
45,11,109,False,3492.9608282977447,20
56,14,70,False,3222.7252215430217,23
41,10,95,False,3430.495044255136,12
46,11,108,True,31.29852926440203,12
55,13,103,True,24.404857466999374,1
19,4,128,True,20.55098005325795,5
34,8,74,True,22.538764556173067,0
31,7,62,True,26.00425148637965,20
29,7,70,True,23.132430014095764,5
35,8,103,True,27.426516415315703,8
85,21,99,True,27.614218803745153,20
26,6,92,True,29.44491590202324,17
65,16,67,True,32.11779736132517,14
17,4,105,True,29.979293621861803,0
34,8,65,True,20.3288046792602,13
43,10,113,False,3659.641282119301,13
54,13,147,False,3283.3598794264317,7
57,14,97,True,22.74412321380293,17
60,15,101,True,19.308366365195287,22
33,8,80,True,22.79154102913503,6
32,8,53,False,3785.384184977795,7
62,15,77,False,3735.4942491524585,7
36,9,68,True,23.421052569224972,20
21,5,61,True,30.892254251591655,1
22,5,124,True,25.996190206246197,21
25,6,95,True,37.359045380277344,18
51,12,97,False,3248.6368885212537,11
43,10,83,True,23.54967113031374,14
57,14,86,True,25.020664413274332,21
32,8,109,True,26.2824598922177,18
43,10,89,True,27.176269785855318,6
55,13,100,False,3462.400490308486,1
34,8,86,False,2613.8879537586117,15
50,12,83,True,29.29523029088868,3
29,7,61,True,26.03875298807062,2
33,8,50,False,3435.8828228707926,23
33,8,84,True,28.853493910473816,11
22,5,91,False,3013.6806805964497,15
51,12,64,True,20.71411798111285,5
31,7,89,True,24.955330660540145,2
40,10,91,False,3307.633333530344,1
51,12,46,True,18.705967701578317,8
50,12,71,True,30.240147888086263,0
56,14,98,True,22.667917469962827,10
38,9,97,True,19.455985125309805,7
32,8,66,True,26.14730182229215,12
38,9,93,True,22.387937842844885,14
17,4,110,False,3910.4758672427456,7
19,4,105,False,3492.0968560656593,10
20,5,88,True,19.191333205328267,1
24,6,80,True,20.47317393659084,7
49,12,77,True,25.770399960744342,23
25,6,99,False,3801.8574468690435,23
33,8,93,True,31.190801507449248,11
77,19,102,True,21.674691398191886,22
33,8,92,True,29.68688483459824,12
58,14,106,True,21.079288532647954,3
25,6,91,True,34.131046734534,20
36,9,105,True,19.33114487290136,9
25,6,107,False,3720.138040561955,14
34,8,73,False,3827.084642505165,15
61,15,53,False,3674.5117812931458,7
17,4,120,True,27.956603644262422,17
50,12,95,True,19.91991735295889,12
45,11,55,True,22.388807602287464,8
30,7,75,False,3188.7504632557634,7
19,4,105,True,30.263222088077807,17
41,10,84,False,3359.3282481557935,5
31,7,79,True,25.22329140481733,2
45,11,118,False,2532.5542869217143,21
40,10,69,True,25.6589921350541,7
90,22,74,True,18.532475703308123,15
35,8,94,True,20.935129876799095,17
24,6,97,True,26.175599715758324,20
44,11,99,True,31.07741208248847,15
45,11,108,True,33.07991212081024,16
79,19,93,True,28.897647103857253,20
61,15,99,True,26.43645380518182,22
48,12,84,True,28.744069429912386,1
84,21,91,True,21.66624574896572,17
22,5,92,False,3889.8630762800813,4
29,7,94,True,20.879346393302615,21
25,6,105,True,18.756286946461444,1
33,8,101,False,3241.7613590169312,5
20,5,90,False,3793.0558265861964,4
55,13,73,True,28.438262422545066,14
36,9,91,False,3642.685055614381,0
19,4,89,True,26.21322135661931,0
24,6,93,True,27.78308332838777,12
47,11,134,True,24.786584518862618,23
61,15,79,True,27.064456976112,12
109,27,98,True,21.369277986568203,10
173,43,111,True,26.84852962819565,15
49,12,91,True,28.342088426430045,13
24,6,136,True,21.651592859638985,9
13,3,82,True,25.259160494964235,14
46,11,96,True,21.881987451853202,0
26,6,74,True,22.367466517419427,5
32,8,82,True,19.375353224489228,16
29,7,94,True,31.32887462583278,8
37,9,106,True,30.32842587360024,1
68,17,96,True,27.687169271136685,2
43,10,115,True,34.86097975971907,20
37,9,88,False,3441.554387362182,7
24,6,83,True,40.15881207555317,0
17,4,144,False,3614.049536536909,17
31,7,97,True,26.275966758780083,12
39,9,75,True,23.01111043029896,10
97,24,76,True,26.861627800301523,21
43,10,71,True,29.178074639431223,7
66,16,108,False,4297.771397872429,13
31,7,82,False,3453.520286256098,17
22,5,92,False,2806.6795821407686,14
24,6,88,True,26.352426930550994,4
28,7,104,True,20.455011527431413,16
117,29,73,True,27.092495372751923,17
26,6,68,True,24.32986389595317,2
61,15,94,True,21.958801353313564,3
25,6,102,True,21.11762795925818,16
64,16,96,True,38.358816898783424,2
49,12,73,False,4035.2784531754614,21
37,9,103,True,17.715072896093663,2
39,9,75,True,21.50889270133714,23
29,7,79,True,24.742160802618933,16
50,12,71,True,27.733335163082426,10
32,8,116,True,27.773982608626568,6
21,5,102,True,28.383072758882626,8
21,5,102,True,21.775698466813353,17
44,11,114,True,26.70220221750773,18
89,22,146,False,3044.9624018549243,5
43,10,55,True,21.90178508492994,13
38,9,75,True,20.4114551274987,23
46,11,77,True,19.058055727008654,6
77,19,72,True,30.321047444290045,16
45,11,68,True,28.443058504894438,4
32,8,84,True,29.88332684989065,20
70,17,65,True,25.19656533012148,4
50,12,96,True,28.884038494325733,7
87,21,91,True,16.193552976787274,11
44,11,99,True,29.315437590226775,8
21,5,100,False,3634.649482650937,4
20,5,102,True,28.13554800074583,15
92,23,82,True,26.900116495243065,0
95,23,132,False,3981.8030206424623,23
36,9,94,True,17.509801123044767,1
33,8,52,True,21.439729169085183,8
83,20,69,False,4442.32847263926,22
23,5,55,True,28.450457075876976,3
25,6,90,True,18.160288613090685,1
55,13,87,True,20.094503162658928,17
33,8,80,True,21.383821570295805,1
40,10,130,True,23.213474698665923,21
37,9,100,True,18.189745845736738,10
47,11,104,True,17.889741169299338,20
81,20,71,True,20.89082351796223,5
42,10,70,True,25.431269181125028,3
55,13,90,True,19.097028301232548,23
14,3,93,True,24.42098245014117,18
39,9,52,False,3162.7469367953004,21
26,6,86,True,18.49110131293245,7
21,5,90,True,23.9677712079473,9
26,6,85,True,30.123783668753862,13
34,8,73,True,22.908658048180953,10
63,15,79,True,22.131651545707907,5
20,5,86,True,30.817479071532368,9
41,10,91,True,23.468989605142262,14
31,7,102,False,4348.0323084203155,0
34,8,111,False,4055.8241034320245,8
66,16,84,True,23.285776735450817,7
